FamilyName,FirstName
RYERSON, Mrs Emily Maria
RYERSON, Miss Emily Borie
RYERSON, Miss Susan Parker
RYERSON, Master John Borie
RYERSON, Mr William Edwy
SAALFELD, Mr Adolphe
SÄGESSER, Mlle Emma
SALKJELSVIK, Miss Anna Kristine
SALOMON, Mr Abraham Lincoln
SANDSTRÖM, Mrs Agnes Charlotta
SANDSTRÖM, Miss Beatrice Irene
SANDSTRÖM, Miss Marguerite Rut
SAP, Mr Julius
SAVAGE, Mr Charles James
SCARROTT, Mr Joseph George
SCHABERT, Mrs Emma
SCHEERLINCK, Mr Jean
SCOTT, Mr Frederick William
SELF, Mr Albert Charles Edward
SENIOR, Mr Harry
SERREPLAÀ, Miss Augusta Jeanne
SEWARD, Mr Frederic Kimber
SEWARD, Mr Wilfred Deable
SHEATH, Mr Frederick
SHELLEY, Mrs Imanita Parrish
SHIERS, Mr Alfred Charles
SHINE, Miss Ellen
SHULVER, Mr Christopher Arthur
SHUTES, Miss Elizabeth Weed
SILVÉN, Miss Lyyli Karoliina
SILVERTHORNE, Mr Spencer Victor
SILVEY, Mrs Alice Gray
SIMMONS, Mr Andrew George James
SIMONIUS-BLUMER, Mr Colonel (Oberst) Alfons
SINCOCK, Miss Maude
SINKKONEN, Miss Anna
SJÖBLOM, Miss Anna Sofia
SLAYTER, Miss Hilda Mary
SLOAN, Miss Mary Jane
SLOCOMBE, Mrs Maude Louise
SLOPER, Mr William Thompson
SMITH, Mrs Mary Eloise
SMITH, Miss Marion
SMITH, Miss Kate Elizabeth
SMYTH, Miss Julia
SNOW, Mr Eustace Philip
SNYDER, Mr John Pillsbury
SNYDER, Mrs Nelle
SPARKMAN, Mr Henry William
SPEDDEN, Mr Frederic Oakley
SPEDDEN, Mrs Margaretta Corning
SPEDDEN, Master Robert Douglas
SPENCER, Mrs Marie Eugenie
STÄHELIN-MAEGLIN, Dr Max
STANLEY, Miss Amy Zillah Elsie
STAP, Miss Sarah Agnes
STENGEL, Mr Charles Emil Henry
STENGEL, Mrs Annie May
STEPHENSON, Mrs Martha
STEWART, Mr John
STONE, Mrs Martha Evelyn
STRANDÉN, Mr Juho Niilosson
STREET, Mr Thomas Albert
SUNDERLAND, Mr Victor Francis
SUNDMAN, Mr Johan Julian
SVENSSON, Mr Johan Cervin
SWIFT, Mrs Margaret Welles
SYMONS, Mr George Thomas Macdonald
TANNŪS, Mrs Thamīn
